주 시작일(월),주 종료일(일),페이지그룹,활성사용자,조회수,조회수비중(%),활성사용자당조회수,"평균참여시간(초, 근사)",이탈률(%),전주 대비 인사이트
2026. 7. 6,2026. 7. 12,메인,6628,190793,17,28.79,8.5,13.98,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,라이브세미나 편성표,5224,258065,23,49.4,19.3,13.91,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,라이브세미나 상세,5312,357847,31.89,67.37,6.3,11.31,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,VOD 다시보기 메인,2205,25509,2.27,11.57,3,25.85,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,VOD 다시보기 상세,2153,39753,3.54,18.46,3.4,26.89,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미 메인,135,225,0.02,1.67,7,2.06,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-개원(opening),9,38,0,4.22,12.5,0,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-초음파(ultsound),9,15,0,1.67,17.2,11.11,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-법정의무교육(mst),15,29,0,1.93,5.6,0,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-에스테틱(plasur),7,31,0,4.43,42.1,10,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-심부전(kshf),4,6,0,1.5,12.7,0,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,아카데미-임상고혈압(clinicHp),4,6,0,1.5,10.5,0,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,드럭인포 메인,644,3003,0.27,4.66,2.7,22.54,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,브랜드존 메인,1430,7516,0.67,5.26,2.2,13.77,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,브랜드존 상세(퀴즈 포함),4977,26545,2.37,5.33,19.6,11.74,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,알림,1818,13421,1.2,7.38,5.9,8.89,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,마이페이지홈,1016,3398,0.3,3.34,7.6,12.06,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,포인트 이용내역,3760,28045,2.5,7.46,9.4,11.48,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,포인트 적립안내,341,1968,0.18,5.77,4.2,6.7,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,1:1문의,74,171,0.02,2.31,25,5.93,이전 기간 데이터 없음
